timestamp,device,rle_smoothed,rle_raw,E_th,E_pw,temp_c,power_w,util_pct,a_load,t_sustain_s,rolling_peak,collapse,alerts,cpu_freq_mhz,cpu_cores_active,cpu_temp_max,gpu_memory_used_gb,gpu_memory_total_gb,gpu_fan_pct,gpu_clock_mhz,memory_used_gb,memory_total_gb,memory_util_pct,disk_used_gb,disk_total_gb,disk_util_pct,network_sent_mb,network_recv_mb,cpu_temp_hwinfo,cpu_fan_rpm,cpu_voltage,motherboard_temp,psu_voltage_12v,psu_voltage_5v,psu_voltage_3v,gpu_temp_hwinfo,gpu_memory_temp,gpu_fan_rpm,gpu_voltage,case_fan_rpm,workload_state
2025-10-29T01:05:22.571756,cpu,0.12167221297836936,0.2723585690515807,0.37437603993344426,0.7275,50.0,125.0,58.2,0.8,600.0,0.2718138519134775,0,,2496.0,16,,,,,,,,,,,,,,,,,,,,,,,,,,data_prep
2025-10-29T01:05:22.571756,gpu,0.13952649199125955,0.1106589419241024,0.3849006675620953,0.2875,51,26.409,23,0.8,600.0,0.24008179139185692,1,,,,,2.7811546325683594,8.0,0,660,,,,,,,,,,,,,,,,,,,,,data_prep
2025-10-29T01:05:23.617286,cpu,0.17745424292845255,0.3177516638935108,0.37437603993344426,0.84875,50.0,125.0,67.9,0.8,600.0,0.3171161605657238,0,,2496.0,16,,,,,,,,,,,,,,,,,,,,,,,,,,data_prep
2025-10-29T01:05:23.617286,gpu,0.11547020026862859,0.12028145861315477,0.3849006675620953,0.3125,51,26.214,25,0.8,600.0,0.15365234649078843,0,,,,,2.7867088317871094,8.0,0,465,,,,,,,,,,,,,,,,,,,,,data_prep
2025-10-29T01:05:24.630414,cpu,0.19364600665557402,0.305116472545757,0.37437603993344426,0.815,50.0,125.0,65.2,0.8,600.0,0.3171161605657238,0,,2496.0,16,,,,,,,,,,,,,,,,,,,,,,,,,,data_prep
2025-10-29T01:05:24.630414,gpu,0.12509271695768098,0.1587715253693643,0.3849006675620953,0.4125,51,25.989,33,0.8,600.0,0.1584539823186256,0,,,,,2.8049583435058594,8.0,0,435,,,,,,,,,,,,,,,,,,,,,data_prep
2025-10-29T01:05:25.660955,cpu,0.24072379367720464,0.2742304492512479,0.37437603993344426,0.7324999999999999,50.0,125.0,58.6,0.8,600.0,0.3171161605657238,0,,2496.0,16,,,,,,,,,,,,,,,,,,,,,,,,,,data_prep
2025-10-29T01:05:25.660955,gpu,0.12797947196439668,0.09622516689052382,0.3849006675620953,0.25,51,24.495,20,0.8,600.0,0.1584539823186256,1,,,,,2.8057518005371094,8.0,0,435,,,,,,,,,,,,,,,,,,,,,data_prep
2025-10-29T01:05:26.606525,cpu,0.2887375207986689,0.2742304492512479,0.37437603993344426,0.7324999999999999,50.0,125.0,58.6,0.8,600.0,0.3171161605657238,0,,2496.0,16,,,,,,,,,,,,,,,,,,,,,,,,,,data_prep
2025-10-29T01:05:26.606525,gpu,0.12509271695768096,0.13952649199125952,0.3849006675620953,0.36249999999999993,51,22.175,29,0.8,600.0,0.1584539823186256,0,,,,,2.8057518005371094,8.0,0,330,,,,,,,,,,,,,,,,,,,,,data_prep
2025-10-29T01:05:27.685942,cpu,0.2955698835274542,0.30652038269550747,0.37437603993344426,0.81875,50.0,125.0,65.5,0.8,600.0,0.3171161605657238,0,,2496.0,15,,,,,,,,,,,,,,,,,,,,,,,,,,data_prep
2025-10-29T01:05:27.685942,gpu,0.12894172363330192,0.12990397530220715,0.3849006675620953,0.3375,51,21.729,27,0.8,600.0,0.1584539823186256,0,,,,,2.8057518005371094,8.0,0,330,,,,,,,,,,,,,,,,,,,,,data_prep
2025-10-29T01:05:28.661445,cpu,0.28096921797004987,0.24474833610648913,0.37437603993344426,0.6537499999999999,50.0,125.0,52.3,0.8,600.0,0.3059073419301164,0,,2496.0,14,,,,,,,,,,,,,,,,,,,,,,,,,,data_prep
2025-10-29T01:05:28.661445,gpu,0.13279073030892286,0.13952649199125952,0.3849006675620953,0.36249999999999993,51,21.622,29,0.8,600.0,0.1584539823186256,0,,,,,2.8057518005371094,8.0,0,270,,,,,,,,,,,,,,,,,,,,,data_prep
